"InChannel","InputDepth","InputHeight","InputWidth","KernelDepth","KernelHeight","KernelWidth","OutputChannel","OutputDepth","OutputHeight","OutputWidth"
"1","514","514","514","3","3","3","16","512","512","512"
"1","258","258","258","3","3","3","32","256","256","256"
"1","34","34","34","3","3","3","64","32","32","32"
"1","18","18","18","3","3","3","128","16","16","16"
"1","10","10","10","3","3","3","256","8","8","8"
"1","6","6","6","3","3","3","256","4","4","4"
"1","4","4","4","3","3","3","256","2","2","2"
