"InChannel","InputDepth","InputHeight","InputWidth","KernelDepth","KernelHeight","KernelWidth","OutputChannel","OutputDepth","OutputHeight","OutputWidth"
"1","128","128","128","3","3","3","16","128","128","128"
"16","64","64","64","3","3","3","32","64","64","64"
"32","32","32","32","3","3","3","64","32","32","32"
"64","16","16","16","3","3","3","128","16","16","16"
"128","8","8","8","3","3","3","256","8","8","8"
"256","4","4","4","3","3","3","256","4","4","4"
"256","2","2","2","3","3","3","256","2","2","2"
