"InChannel","InputDepth","InputHeight","InputWidth","KernelDepth","KernelHeight","KernelWidth","OutputChannel","OutputDepth","OutputHeight","OutputWidth"
"1","130","130","130","3","3","3","16","128","128","128"
"1","66","66","66","3","3","3","32","64","64","64"
"1","34","34","34","3","3","3","64","32","32","32"
"1","18","18","18","3","3","3","128","16","16","16"
"1","10","10","10","3","3","3","256","8","8","8"
"1","6","6","6","3","3","3","256","4","4","4"
"1","4","4","4","3","3","3","256","2","2","2"
